Object,Locations
cup,"{1: ('kitchen', 3.25), 2: ('closet', 1.5), 3: ('storage room', 1.0), 4: ('living room', 1.0), 5: ('home office', 1.0), 6: ('bathroom', 1.0), 7: ('bedroom', 1.0), 8: ('garage', 1.0), 9: ('utility room', 1.0), 10: ('corridor', 1.0), 11: ('playroom', 1.0), 12: ('lobby', 1.0), 13: ('childs room', 1.0), 14: ('pantry room', 1.0), 15: ('dining room', 1.0), 16: ('television room', 1.0), 17: ('exercise room', 1.0)}"
curtain,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0)}"
cushion,"{1: ('kitchen', 1.0), 2: ('bedroom', 1.0), 3: ('closet', 1.0), 4: ('storage room', 1.0), 5: ('garage', 1.0), 6: ('home office', 1.0), 7: ('bathroom', 1.0), 8: ('dining room', 1.0), 9: ('lobby', 1.0), 10: ('living room', 1.0), 11: ('exercise room', 1.0), 12: ('corridor', 1.0), 13: ('childs room', 1.0), 14: ('utility room', 1.0), 15: ('pantry room', 1.0), 16: ('playroom', 1.0), 17: ('television room', 1.0)}"
desk,"{1: ('living room', 1.5), 2: ('bedroom', 1.5)}"
desk caddy,"{1: ('garage', 1.0), 2: ('playroom', 1.0), 3: ('pantry room', 1.0), 4: ('storage room', 1.0), 5: ('home office', 1.0), 6: ('bedroom', 1.0), 7: ('childs room', 1.0), 8: ('dining room', 1.0), 9: ('exercise room', 1.0), 10: ('television room', 1.0), 11: ('kitchen', 1.0), 12: ('utility room', 1.0), 13: ('living room', 1.0), 14: ('closet', 1.0), 15: ('bathroom', 1.0), 16: ('corridor', 1.0), 17: ('lobby', 1.0)}"
desklamp,"{1: ('living room', 1.0), 2: ('bedroom', 1.0)}"
desktop,"{1: ('bedroom', 1.0)}"
diaper pack,"{1: ('playroom', 1.0), 2: ('exercise room', 1.0), 3: ('utility room', 1.0), 4: ('bedroom', 1.0), 5: ('television room', 1.0), 6: ('bathroom', 1.0), 7: ('closet', 1.0), 8: ('pantry room', 1.0), 9: ('corridor', 1.0), 10: ('garage', 1.0), 11: ('living room', 1.0), 12: ('dining room', 1.0), 13: ('home office', 1.0), 14: ('childs room', 1.0), 15: ('kitchen', 1.0), 16: ('storage room', 1.0), 17: ('lobby', 1.0)}"
dietary supplement,"{1: ('childs room', 1.0), 2: ('living room', 1.0), 3: ('closet', 1.0), 4: ('bedroom', 1.0), 5: ('kitchen', 1.0), 6: ('playroom', 1.0), 7: ('exercise room', 1.0), 8: ('pantry room', 1.0), 9: ('television room', 1.0), 10: ('home office', 1.0), 11: ('garage', 1.0), 12: ('lobby', 1.0), 13: ('corridor', 1.0), 14: ('bathroom', 1.0), 15: ('utility room', 1.0), 16: ('storage room', 1.0), 17: ('dining room', 1.0)}"
diningtable,"{1: ('kitchen', 1.0), 2: ('living room', 1.0)}"
dish drainer,"{1: ('dining room', 1.0), 2: ('bedroom', 1.0), 3: ('kitchen', 1.0), 4: ('closet', 1.0), 5: ('playroom', 1.0), 6: ('utility room', 1.0), 7: ('storage room', 1.0), 8: ('living room', 1.0), 9: ('television room', 1.0), 10: ('home office', 1.0), 11: ('bathroom', 1.0), 12: ('pantry room', 1.0), 13: ('exercise room', 1.0), 14: ('garage', 1.0), 15: ('corridor', 1.0), 16: ('childs room', 1.0), 17: ('lobby', 1.0)}"
dishsponge,"{1: ('kitchen', 1.0), 2: ('bathroom', 1.0)}"
dishtowel,"{1: ('utility room', 1.0), 2: ('childs room', 1.0), 3: ('pantry room', 1.0), 4: ('living room', 1.0), 5: ('corridor', 1.0), 6: ('exercise room', 1.0), 7: ('garage', 1.0), 8: ('dining room', 1.0), 9: ('storage room', 1.0), 10: ('television room', 1.0), 11: ('playroom', 1.0), 12: ('closet', 1.0), 13: ('bathroom', 1.0), 14: ('bedroom', 1.0), 15: ('home office', 1.0), 16: ('lobby', 1.0), 17: ('kitchen', 1.0)}"
dishwasher,"{1: ('kitchen', 1.0)}"
dispensing closure,"{1: ('home office', 1.0), 2: ('utility room', 1.0), 3: ('storage room', 1.0), 4: ('living room', 1.0), 5: ('pantry room', 1.0), 6: ('bedroom', 1.0), 7: ('childs room', 1.0), 8: ('corridor', 1.0), 9: ('kitchen', 1.0), 10: ('dining room', 1.0), 11: ('garage', 1.0), 12: ('bathroom', 1.0), 13: ('exercise room', 1.0), 14: ('closet', 1.0), 15: ('playroom', 1.0), 16: ('lobby', 1.0), 17: ('television room', 1.0)}"
dog bowl,"{1: ('dining room', 1.0), 2: ('exercise room', 1.0), 3: ('bedroom', 1.0), 4: ('bathroom', 1.0), 5: ('television room', 1.0), 6: ('storage room', 1.0), 7: ('childs room', 1.0), 8: ('pantry room', 1.0), 9: ('corridor', 1.0), 10: ('living room', 1.0), 11: ('utility room', 1.0), 12: ('playroom', 1.0), 13: ('lobby', 1.0), 14: ('kitchen', 1.0), 15: ('closet', 1.0), 16: ('home office', 1.0), 17: ('garage', 1.0)}"
dog chew toy,"{1: ('playroom', 1.0), 2: ('utility room', 1.0), 3: ('childs room', 1.0), 4: ('television room', 1.0), 5: ('home office', 1.0), 6: ('kitchen', 1.0), 7: ('bathroom', 1.0), 8: ('closet', 1.0), 9: ('exercise room', 1.0), 10: ('dining room', 1.0), 11: ('pantry room', 1.0), 12: ('bedroom', 1.0), 13: ('corridor', 1.0), 14: ('living room', 1.0), 15: ('garage', 1.0), 16: ('storage room', 1.0), 17: ('lobby', 1.0)}"
dogbed,"{1: ('living room', 1.0), 2: ('bedroom', 1.0)}"
dollhouse toy,"{1: ('utility room', 1.0), 2: ('bedroom', 1.0), 3: ('corridor', 1.0), 4: ('garage', 1.0), 5: ('home office', 1.0), 6: ('dining room', 1.0), 7: ('playroom', 1.0), 8: ('kitchen', 1.0), 9: ('television room', 1.0), 10: ('lobby', 1.0), 11: ('exercise room', 1.0), 12: ('bathroom', 1.0), 13: ('living room', 1.0), 14: ('childs room', 1.0), 15: ('pantry room', 1.0), 16: ('closet', 1.0), 17: ('storage room', 1.0)}"
donut,"{1: ('corridor', 1.0), 2: ('home office', 1.0), 3: ('television room', 1.0), 4: ('playroom', 1.0), 5: ('lobby', 1.0), 6: ('storage room', 1.0), 7: ('garage', 1.0), 8: ('living room', 1.0), 9: ('pantry room', 1.0), 10: ('utility room', 1.0), 11: ('closet', 1.0), 12: ('dining room', 1.0), 13: ('bedroom', 1.0), 14: ('kitchen', 1.0), 15: ('bathroom', 1.0), 16: ('childs room', 1.0), 17: ('exercise room', 1.0)}"
drawer,"{1: ('kitchen', 1.5), 2: ('living room', 1.0), 3: ('bedroom', 1.0), 4: ('bathroom', 1.0)}"
dresser,"{1: ('bedroom', 1.5), 2: ('living room', 1.0), 3: ('bathroom', 1.0)}"
drink,"{1: ('can', 1.0), 2: ('bar', 1.0)}"
drink coaster,"{1: ('dining room', 1.0), 2: ('utility room', 1.0), 3: ('home office', 1.0), 4: ('closet', 1.0), 5: ('bathroom', 1.0), 6: ('pantry room', 1.0), 7: ('corridor', 1.0), 8: ('lobby', 1.0), 9: ('childs room', 1.0), 10: ('exercise room', 1.0), 11: ('playroom', 1.0), 12: ('bedroom', 1.0), 13: ('television room', 1.0), 14: ('living room', 1.0), 15: ('garage', 1.0), 16: ('storage room', 1.0), 17: ('kitchen', 1.0)}"
dryer,"{1: ('basement', 1.0)}"
duct tape,"{1: ('pantry room', 1.0), 2: ('playroom', 1.0), 3: ('closet', 1.0), 4: ('garage', 1.0), 5: ('corridor', 1.0), 6: ('bathroom', 1.0), 7: ('dining room', 1.0), 8: ('home office', 1.0), 9: ('storage room', 1.0), 10: ('lobby', 1.0), 11: ('bedroom', 1.0), 12: ('exercise room', 1.0), 13: ('television room', 1.0), 14: ('childs room', 1.0), 15: ('living room', 1.0), 16: ('kitchen', 1.0), 17: ('utility room', 1.0)}"
dumbbell,"{1: ('bedroom', 2.0), 2: ('living room', 1.0), 3: ('utility room', 1.0), 4: ('exercise room', 1.0), 5: ('storage room', 1.0), 6: ('lobby', 1.0), 7: ('garage', 1.0), 8: ('kitchen', 1.0), 9: ('corridor', 1.0), 10: ('dining room', 1.0), 11: ('home office', 1.0), 12: ('pantry room', 1.0), 13: ('television room', 1.0), 14: ('bathroom', 1.0), 15: ('childs room', 1.0), 16: ('closet', 1.0), 17: ('playroom', 1.0)}"
dumbbell rack,"{1: ('exercise room', 1.0), 2: ('childs room', 1.0), 3: ('storage room', 1.0), 4: ('corridor', 1.0), 5: ('playroom', 1.0), 6: ('bedroom', 1.0), 7: ('television room', 1.0), 8: ('living room', 1.0), 9: ('home office', 1.0), 10: ('lobby', 1.0), 11: ('garage', 1.0), 12: ('closet', 1.0), 13: ('pantry room', 1.0), 14: ('utility room', 1.0), 15: ('kitchen', 1.0), 16: ('dining room', 1.0), 17: ('bathroom', 1.0)}"
dustpan and brush,"{1: ('childs room', 1.0), 2: ('dining room', 1.0), 3: ('bathroom', 1.0), 4: ('home office', 1.0), 5: ('utility room', 1.0), 6: ('playroom', 1.0), 7: ('lobby', 1.0), 8: ('pantry room', 1.0), 9: ('storage room', 1.0), 10: ('kitchen', 1.0), 11: ('closet', 1.0), 12: ('living room', 1.0), 13: ('exercise room', 1.0), 14: ('bedroom', 1.0), 15: ('garage', 1.0), 16: ('television room', 1.0), 17: ('corridor', 1.0)}"
dutch oven,"{1: ('playroom', 1.0), 2: ('bedroom', 1.0), 3: ('exercise room', 1.0), 4: ('closet', 1.0), 5: ('corridor', 1.0), 6: ('garage', 1.0), 7: ('bathroom', 1.0), 8: ('storage room', 1.0), 9: ('kitchen', 1.0), 10: ('television room', 1.0), 11: ('childs room', 1.0), 12: ('dining room', 1.0), 13: ('living room', 1.0), 14: ('lobby', 1.0), 15: ('utility room', 1.0), 16: ('pantry room', 1.0), 17: ('home office', 1.0)}"
easter basket,"{1: ('utility room', 1.0), 2: ('television room', 1.0), 3: ('bedroom', 1.0), 4: ('home office', 1.0), 5: ('kitchen', 1.0), 6: ('storage room', 1.0), 7: ('playroom', 1.0), 8: ('childs room', 1.0), 9: ('living room', 1.0), 10: ('lobby', 1.0), 11: ('corridor', 1.0), 12: ('bathroom', 1.0), 13: ('garage', 1.0), 14: ('pantry room', 1.0), 15: ('dining room', 1.0), 16: ('exercise room', 1.0), 17: ('closet', 1.0)}"
egg,"{1: ('kitchen', 1.0)}"
electric heater,"{1: ('storage room', 1.0), 2: ('corridor', 1.0), 3: ('bedroom', 1.0), 4: ('home office', 1.0), 5: ('garage', 1.0), 6: ('utility room', 1.0), 7: ('living room', 1.0), 8: ('dining room', 1.0), 9: ('pantry room', 1.0), 10: ('closet', 1.0), 11: ('bathroom', 1.0), 12: ('exercise room', 1.0), 13: ('television room', 1.0), 14: ('childs room', 1.0), 15: ('playroom', 1.0), 16: ('lobby', 1.0), 17: ('kitchen', 1.0)}"
electric toothbrush,"{1: ('garage', 1.0), 2: ('playroom', 1.0), 3: ('pantry room', 1.0), 4: ('storage room', 1.0), 5: ('home office', 1.0), 6: ('bedroom', 1.0), 7: ('childs room', 1.0), 8: ('dining room', 1.0), 9: ('exercise room', 1.0), 10: ('television room', 1.0), 11: ('kitchen', 1.0), 12: ('utility room', 1.0), 13: ('living room', 1.0), 14: ('closet', 1.0), 15: ('bathroom', 1.0), 16: ('corridor', 1.0), 17: ('lobby', 1.0)}"
electronic adapter,"{1: ('dining room', 1.0), 2: ('kitchen', 1.0), 3: ('closet', 1.0), 4: ('bedroom', 1.0), 5: ('utility room', 1.0), 6: ('exercise room', 1.0), 7: ('bathroom', 1.0), 8: ('lobby', 1.0), 9: ('garage', 1.0), 10: ('living room', 1.0), 11: ('pantry room', 1.0), 12: ('storage room', 1.0), 13: ('home office', 1.0), 14: ('playroom', 1.0), 15: ('television room', 1.0), 16: ('childs room', 1.0), 17: ('corridor', 1.0)}"
electronic cable,"{1: ('garage', 1.0), 2: ('playroom', 1.0), 3: ('television room', 1.0), 4: ('storage room', 1.0), 5: ('kitchen', 1.0), 6: ('home office', 1.0), 7: ('living room', 1.0), 8: ('pantry room', 1.0), 9: ('bedroom', 1.0), 10: ('closet', 1.0), 11: ('bathroom', 1.0), 12: ('dining room', 1.0), 13: ('corridor', 1.0), 14: ('exercise room', 1.0), 15: ('utility room', 1.0), 16: ('childs room', 1.0), 17: ('lobby', 1.0)}"
face moisturizer,"{1: ('television room', 1.0), 2: ('childs room', 1.0), 3: ('living room', 1.0), 4: ('home office', 1.0), 5: ('playroom', 1.0), 6: ('bedroom', 1.0), 7: ('kitchen', 1.0), 8: ('bathroom', 1.0), 9: ('corridor', 1.0), 10: ('pantry room', 1.0), 11: ('dining room', 1.0), 12: ('utility room', 1.0), 13: ('storage room', 1.0), 14: ('garage', 1.0), 15: ('lobby', 1.0), 16: ('exercise room', 1.0), 17: ('closet', 1.0)}"
faucet,"{1: ('bathroom', 1.5), 2: ('kitchen', 1.0)}"
file sorter,"{1: ('exercise room', 1.0), 2: ('pantry room', 1.0), 3: ('playroom', 1.0), 4: ('bathroom', 1.0), 5: ('living room', 1.0), 6: ('garage', 1.0), 7: ('home office', 1.0), 8: ('dining room', 1.0), 9: ('corridor', 1.0), 10: ('kitchen', 1.0), 11: ('utility room', 1.0), 12: ('television room', 1.0), 13: ('lobby', 1.0), 14: ('bedroom', 1.0), 15: ('storage room', 1.0), 16: ('childs room', 1.0), 17: ('closet', 1.0)}"
fingerpaint,"{1: ('exercise room', 1.0), 2: ('television room', 1.0), 3: ('kitchen', 1.0), 4: ('lobby', 1.0), 5: ('utility room', 1.0), 6: ('closet', 1.0), 7: ('living room', 1.0), 8: ('storage room', 1.0), 9: ('childs room', 1.0), 10: ('playroom', 1.0), 11: ('pantry room', 1.0), 12: ('corridor', 1.0), 13: ('home office', 1.0), 14: ('bedroom', 1.0), 15: ('garage', 1.0), 16: ('bathroom', 1.0), 17: ('dining room', 1.0)}"
fitness tracker wristband,"{1: ('storage room', 1.0), 2: ('bathroom', 1.0), 3: ('home office', 1.0), 4: ('utility room', 1.0), 5: ('exercise room', 1.0), 6: ('closet', 1.0), 7: ('dining room', 1.0), 8: ('television room', 1.0), 9: ('playroom', 1.0), 10: ('corridor', 1.0), 11: ('garage', 1.0), 12: ('pantry room', 1.0), 13: ('lobby', 1.0), 14: ('bedroom', 1.0), 15: ('childs room', 1.0), 16: ('kitchen', 1.0), 17: ('living room', 1.0)}"
flashlight,"{1: ('pantry room', 1.0), 2: ('living room', 1.0), 3: ('playroom', 1.0), 4: ('childs room', 1.0), 5: ('lobby', 1.0), 6: ('television room', 1.0), 7: ('corridor', 1.0), 8: ('dining room', 1.0), 9: ('home office', 1.0), 10: ('closet', 1.0), 11: ('exercise room', 1.0), 12: ('utility room', 1.0), 13: ('bathroom', 1.0), 14: ('kitchen', 1.0), 15: ('bedroom', 1.0), 16: ('garage', 1.0), 17: ('storage room', 1.0)}"
flat screwdriver,"{1: ('kitchen', 1.0), 2: ('utility room', 1.0), 3: ('bedroom', 1.0), 4: ('garage', 1.0), 5: ('home office', 1.0), 6: ('storage room', 1.0), 7: ('lobby', 1.0), 8: ('exercise room', 1.0), 9: ('bathroom', 1.0), 10: ('closet', 1.0), 11: ('pantry room', 1.0), 12: ('childs room', 1.0), 13: ('playroom', 1.0), 14: ('television room', 1.0), 15: ('living room', 1.0), 16: ('corridor', 1.0), 17: ('dining room', 1.0)}"
floor,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0), 4: ('bathroom', 1.0)}"
floorlamp,"{1: ('living room', 1.0)}"
foam brick,"{1: ('dining room', 1.0), 2: ('bathroom', 1.0), 3: ('bedroom', 1.0), 4: ('television room', 1.0), 5: ('lobby', 1.0), 6: ('playroom', 1.0), 7: ('storage room', 1.0), 8: ('utility room', 1.0), 9: ('exercise room', 1.0), 10: ('corridor', 1.0), 11: ('kitchen', 1.0), 12: ('pantry room', 1.0), 13: ('home office', 1.0), 14: ('childs room', 1.0), 15: ('garage', 1.0), 16: ('closet', 1.0), 17: ('living room', 1.0)}"
folder,"{1: ('playroom', 1.0), 2: ('bathroom', 1.0), 3: ('pantry room', 1.0), 4: ('bedroom', 1.0), 5: ('garage', 1.0), 6: ('television room', 1.0), 7: ('kitchen', 1.0), 8: ('lobby', 1.0), 9: ('living room', 1.0), 10: ('closet', 1.0), 11: ('utility room', 1.0), 12: ('exercise room', 1.0), 13: ('corridor', 1.0), 14: ('dining room', 1.0), 15: ('home office', 1.0), 16: ('childs room', 1.0), 17: ('storage room', 1.0)}"
fondant,"{1: ('television room', 1.0), 2: ('storage room', 1.0), 3: ('living room', 1.0), 4: ('exercise room', 1.0), 5: ('home office', 1.0), 6: ('kitchen', 1.0), 7: ('dining room', 1.0), 8: ('closet', 1.0), 9: ('bedroom', 1.0), 10: ('corridor', 1.0), 11: ('pantry room', 1.0), 12: ('playroom', 1.0), 13: ('utility room', 1.0), 14: ('garage', 1.0), 15: ('lobby', 1.0), 16: ('bathroom', 1.0), 17: ('childs room', 1.0)}"
footstool,"{1: ('bedroom', 1.0), 2: ('bathroom', 1.0)}"
fork,"{1: ('kitchen', 2.75), 2: ('corridor', 1.0), 3: ('pantry room', 1.0), 4: ('storage room', 1.0), 5: ('garage', 1.0), 6: ('exercise room', 1.0), 7: ('playroom', 1.0), 8: ('bathroom', 1.0), 9: ('utility room', 1.0), 10: ('closet', 1.0), 11: ('bedroom', 1.0), 12: ('childs room', 1.0), 13: ('dining room', 1.0), 14: ('home office', 1.0), 15: ('living room', 1.0), 16: ('television room', 1.0), 17: ('lobby', 1.0)}"
fridge,"{1: ('kitchen', 2.0)}"
fruit snack,"{1: ('playroom', 1.0), 2: ('kitchen', 1.0), 3: ('television room', 1.0), 4: ('corridor', 1.0), 5: ('dining room', 1.0), 6: ('closet', 1.0), 7: ('bathroom', 1.0), 8: ('bedroom', 1.0), 9: ('storage room', 1.0), 10: ('pantry room', 1.0), 11: ('lobby', 1.0), 12: ('living room', 1.0), 13: ('garage', 1.0), 14: ('exercise room', 1.0), 15: ('utility room', 1.0), 16: ('childs room', 1.0), 17: ('home office', 1.0)}"
furnace,"{1: ('basement', 1.0)}"
garbage,"{1: ('dumpster', 1.0)}"
garbagebag,"{1: ('kitchen', 1.0), 2: ('bedroom', 1.0)}"
garbagecan,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0), 4: ('bathroom', 1.0)}"
gelatin box,"{1: ('garage', 1.0), 2: ('childs room', 1.0), 3: ('home office', 1.0), 4: ('corridor', 1.0), 5: ('playroom', 1.0), 6: ('closet', 1.0), 7: ('dining room', 1.0), 8: ('kitchen', 1.0), 9: ('television room', 1.0), 10: ('lobby', 1.0), 11: ('pantry room', 1.0), 12: ('bathroom', 1.0), 13: ('utility room', 1.0), 14: ('storage room', 1.0), 15: ('living room', 1.0), 16: ('exercise room', 1.0), 17: ('bedroom', 1.0)}"
glove,"{1: ('exercise room', 1.0), 2: ('bathroom', 1.0), 3: ('garage', 1.0), 4: ('playroom', 1.0), 5: ('storage room', 1.0), 6: ('utility room', 1.0), 7: ('home office', 1.0), 8: ('lobby', 1.0), 9: ('living room', 1.0), 10: ('pantry room', 1.0), 11: ('bedroom', 1.0), 12: ('childs room', 1.0), 13: ('closet', 1.0), 14: ('television room', 1.0), 15: ('dining room', 1.0), 16: ('corridor', 1.0), 17: ('kitchen', 1.0)}"
golf ball,"{1: ('kitchen', 1.0), 2: ('exercise room', 1.0), 3: ('pantry room', 1.0), 4: ('dining room', 1.0), 5: ('bedroom', 1.0), 6: ('storage room', 1.0), 7: ('living room', 1.0), 8: ('home office', 1.0), 9: ('television room', 1.0), 10: ('childs room', 1.0), 11: ('closet', 1.0), 12: ('bathroom', 1.0), 13: ('garage', 1.0), 14: ('playroom', 1.0), 15: ('lobby', 1.0), 16: ('corridor', 1.0), 17: ('utility room', 1.0)}"
graphics card,"{1: ('storage room', 1.0), 2: ('dining room', 1.0), 3: ('exercise room', 1.0), 4: ('corridor', 1.0), 5: ('bathroom', 1.0), 6: ('kitchen', 1.0), 7: ('pantry room', 1.0), 8: ('home office', 1.0), 9: ('childs room', 1.0), 10: ('playroom', 1.0), 11: ('bedroom', 1.0), 12: ('closet', 1.0), 13: ('living room', 1.0), 14: ('lobby', 1.0), 15: ('garage', 1.0), 16: ('utility room', 1.0), 17: ('television room', 1.0)}"
hair color,"{1: ('closet', 1.0), 2: ('childs room', 1.0), 3: ('television room', 1.0), 4: ('kitchen', 1.0), 5: ('lobby', 1.0), 6: ('exercise room', 1.0), 7: ('living room', 1.0), 8: ('corridor', 1.0), 9: ('pantry room', 1.0), 10: ('bathroom', 1.0), 11: ('playroom', 1.0), 12: ('home office', 1.0), 13: ('dining room', 1.0), 14: ('storage room', 1.0), 15: ('utility room', 1.0), 16: ('bedroom', 1.0), 17: ('garage', 1.0)}"
hair conditioner,"{1: ('home office', 1.0), 2: ('bedroom', 1.0), 3: ('exercise room', 1.0), 4: ('lobby', 1.0), 5: ('closet', 1.0), 6: ('pantry room', 1.0), 7: ('bathroom', 1.0), 8: ('garage', 1.0), 9: ('storage room', 1.0), 10: ('childs room', 1.0), 11: ('living room', 1.0), 12: ('kitchen', 1.0), 13: ('dining room', 1.0), 14: ('playroom', 1.0), 15: ('corridor', 1.0), 16: ('utility room', 1.0), 17: ('television room', 1.0)}"
hair dryer,"{1: ('dining room', 1.0), 2: ('bedroom', 1.0), 3: ('utility room', 1.0), 4: ('playroom', 1.0), 5: ('exercise room', 1.0), 6: ('lobby', 1.0), 7: ('childs room', 1.0), 8: ('storage room', 1.0), 9: ('pantry room', 1.0), 10: ('television room', 1.0), 11: ('garage', 1.0), 12: ('kitchen', 1.0), 13: ('living room', 1.0), 14: ('bathroom', 1.0), 15: ('home office', 1.0), 16: ('corridor', 1.0), 17: ('closet', 1.0)}"
hair straightener,"{1: ('exercise room', 1.0), 2: ('dining room', 1.0), 3: ('kitchen', 1.0), 4: ('bathroom', 1.0), 5: ('playroom', 1.0), 6: ('storage room', 1.0), 7: ('garage', 1.0), 8: ('pantry room', 1.0), 9: ('bedroom', 1.0), 10: ('childs room', 1.0), 11: ('corridor', 1.0), 12: ('lobby', 1.0), 13: ('living room', 1.0), 14: ('utility room', 1.0), 15: ('closet', 1.0), 16: ('home office', 1.0), 17: ('television room', 1.0)}"
hammer,"{1: ('closet', 1.0), 2: ('pantry room', 1.0), 3: ('television room', 1.0), 4: ('dining room', 1.0), 5: ('bedroom', 1.0), 6: ('exercise room', 1.0), 7: ('home office', 1.0), 8: ('bathroom', 1.0), 9: ('lobby', 1.0), 10: ('garage', 1.0), 11: ('utility room', 1.0), 12: ('storage room', 1.0), 13: ('childs room', 1.0), 14: ('playroom', 1.0), 15: ('kitchen', 1.0), 16: ('living room', 1.0), 17: ('corridor', 1.0)}"
hand bell,"{1: ('corridor', 1.0), 2: ('childs room', 1.0), 3: ('television room', 1.0), 4: ('closet', 1.0), 5: ('bathroom', 1.0), 6: ('dining room', 1.0), 7: ('lobby', 1.0), 8: ('home office', 1.0), 9: ('living room', 1.0), 10: ('storage room', 1.0), 11: ('kitchen', 1.0), 12: ('exercise room', 1.0), 13: ('playroom', 1.0), 14: ('pantry room', 1.0), 15: ('bedroom', 1.0), 16: ('garage', 1.0), 17: ('utility room', 1.0)}"
handbag,"{1: ('storage room', 1.0), 2: ('bathroom', 1.0), 3: ('corridor', 1.0), 4: ('childs room', 1.0), 5: ('playroom', 1.0), 6: ('dining room', 1.0), 7: ('garage', 1.0), 8: ('closet', 1.0), 9: ('lobby', 1.0), 10: ('home office', 1.0), 11: ('kitchen', 1.0), 12: ('exercise room', 1.0), 13: ('bedroom', 1.0), 14: ('pantry room', 1.0), 15: ('utility room', 1.0), 16: ('living room', 1.0), 17: ('television room', 1.0)}"
handtowel,"{1: ('bathroom', 1.0)}"
handtowelholder,"{1: ('bathroom', 1.0)}"
hard drive,"{1: ('television room', 1.0), 2: ('utility room', 1.0), 3: ('living room', 1.0), 4: ('dining room', 1.0), 5: ('pantry room', 1.0), 6: ('closet', 1.0), 7: ('lobby', 1.0), 8: ('exercise room', 1.0), 9: ('playroom', 1.0), 10: ('garage', 1.0), 11: ('home office', 1.0), 12: ('storage room', 1.0), 13: ('childs room', 1.0), 14: ('kitchen', 1.0), 15: ('corridor', 1.0), 16: ('bedroom', 1.0), 17: ('bathroom', 1.0)}"
hard drive case,"{1: ('dining room', 1.0), 2: ('bathroom', 1.0), 3: ('bedroom', 1.0), 4: ('television room', 1.0), 5: ('lobby', 1.0), 6: ('playroom', 1.0), 7: ('storage room', 1.0), 8: ('utility room', 1.0), 9: ('exercise room', 1.0), 10: ('corridor', 1.0), 11: ('kitchen', 1.0), 12: ('pantry room', 1.0), 13: ('home office', 1.0), 14: ('childs room', 1.0), 15: ('garage', 1.0), 16: ('closet', 1.0), 17: ('living room', 1.0)}"
hat,"{1: ('closet', 1.5), 2: ('corridor', 1.0), 3: ('lobby', 1.0), 4: ('television room', 1.0), 5: ('home office', 1.0), 6: ('bathroom', 1.0), 7: ('living room', 1.0), 8: ('garage', 1.0), 9: ('playroom', 1.0), 10: ('bedroom', 1.0), 11: ('utility room', 1.0), 12: ('storage room', 1.0), 13: ('kitchen', 1.0), 14: ('dining room', 1.0), 15: ('childs room', 1.0), 16: ('exercise room', 1.0), 17: ('pantry room', 1.0)}"
headphone,"{1: ('utility room', 1.0), 2: ('storage room', 1.0), 3: ('bedroom', 1.0), 4: ('living room', 1.0), 5: ('childs room', 1.0), 6: ('closet', 1.0), 7: ('dining room', 1.0), 8: ('kitchen', 1.0), 9: ('lobby', 1.0), 10: ('pantry room', 1.0), 11: ('exercise room', 1.0), 12: ('garage', 1.0), 13: ('television room', 1.0), 14: ('playroom', 1.0), 15: ('home office', 1.0), 16: ('corridor', 1.0), 17: ('bathroom', 1.0)}"
heavy duty gloves,"{1: ('garage', 1.0), 2: ('bedroom', 1.0), 3: ('home office', 1.0), 4: ('closet', 1.0), 5: ('utility room', 1.0), 6: ('television room', 1.0), 7: ('playroom', 1.0), 8: ('living room', 1.0), 9: ('exercise room', 1.0), 10: ('kitchen', 1.0), 11: ('storage room', 1.0), 12: ('corridor', 1.0), 13: ('childs room', 1.0), 14: ('pantry room', 1.0), 15: ('lobby', 1.0), 16: ('dining room', 1.0), 17: ('bathroom', 1.0)}"
heavy master chef can,"{1: ('lobby', 1.0), 2: ('storage room', 1.0), 3: ('corridor', 1.0), 4: ('bedroom', 1.0), 5: ('dining room', 1.0), 6: ('garage', 1.0), 7: ('childs room', 1.0), 8: ('television room', 1.0), 9: ('bathroom', 1.0), 10: ('exercise room', 1.0), 11: ('utility room', 1.0), 12: ('pantry room', 1.0), 13: ('closet', 1.0), 14: ('kitchen', 1.0), 15: ('living room', 1.0), 16: ('playroom', 1.0), 17: ('home office', 1.0)}"
helmet,"{1: ('exercise room', 1.0), 2: ('bathroom', 1.0), 3: ('television room', 1.0), 4: ('storage room', 1.0), 5: ('living room', 1.0), 6: ('pantry room', 1.0), 7: ('dining room', 1.0), 8: ('closet', 1.0), 9: ('corridor', 1.0), 10: ('playroom', 1.0), 11: ('childs room', 1.0), 12: ('lobby', 1.0), 13: ('bedroom', 1.0), 14: ('garage', 1.0), 15: ('home office', 1.0), 16: ('utility room', 1.0), 17: ('kitchen', 1.0)}"
